"usageclass","checkouttype","materialtype","checkoutyear","checkoutmonth","checkouts","title","creator","subjects","publisher","publicationyear"
"Digital","OverDrive","AUDIOBOOK","2016","10","2","The Voyage of the Feroshus Maggot: The Unlikely Adventures of Mabel Jones (unabridged) (Unabridged)","Will Mabbitt","Juvenile Fiction","Books on Tape","2015"
"Digital","Freegal","SONG","2016","10","1","It Wasn't God Who Made Honky Tonk Angels","Kitty Wells",,,
"Physical","Horizon","SOUNDDISC","2016","10","1","Black pudding [sound recording] / Mark Lanegan & Duke Garwood.","Lanegan, Mark","Popular music 2011 2020","Ipecac Recordings,","p2013."
"Physical","Horizon","BOOK","2016","10","1","Infinite days / Rebecca Maizel.","Maizel, Rebecca","Vampires Juvenile fiction","St. Martin's Griffin,","2010."
"Physical","Horizon","BOOK","2016","10","1","The song of Synth / Seb Doubinsky.","Doubinsky, Seb","Hackers Fiction, Hallucinogenic drugs Fiction, Science fiction","Talos Press,","2015."
"Digital","OverDrive","EBOOK","2016","10","1","Lidia's Family Table","Lidia Matticchio Bastianich","Cooking & Food, Nonfiction","Random House, Inc.","2010"
"Physical","Horizon","BOOK","2016","10","1","Radio golf / August Wilson.","Wilson, August","African Americans Drama, Nineteen nineties Drama, Hill District Pittsburgh Pa Drama, Real estate development Drama, African American neighborhoods Drama","Theatre Communications Group,","2007."
"Physical","Horizon","SOUNDDISC","2016","10","2","Great classic humor [sound recording] / edited Mark Twain.",,"Humorous stories American, United States Social life and customs 19th century Fiction, United States Social life and customs 19th century Humor","BBC Audiobooks America,","p2009."
"Physical","Horizon","BOOK","2016","10","1","The man from Hell / Barrie Roberts.","Roberts, Barrie, 1939-","Holmes Sherlock Fiction, Watson John H Fictitious character Fiction, Mystery fiction","Titan Books,","2010."
"Physical","Horizon","BOOK","2016","10","2","How to code in 10 easy lessons : learn how to design and code your very own computer game / Sean McManus.","McManus, Sean, 1973-","Computer programming Juvenile literature, Scratch Computer program language Juvenile literature, Computer games Programming Juvenile literature","Walter Foster Jr.,","[2015]"
"Digital","OverDrive","EBOOK","2016","10","1","Enchanted Glass","Diana Wynne Jones","Fantasy, Juvenile Fiction","HarperCollins Publishers Inc.","2010"
"Digital","OverDrive","EBOOK","2016","10","3","Autumn Bones: Agent of Hel Series, Book 2","Jacqueline Carey","Fantasy, Fiction","Penguin Group (USA), Inc.","2013"
"Physical","Horizon","SOUNDDISC","2016","10","1","Turn around [sound recording] / Jonny Lang.","Lang, Jonny","Blues Music 2001 2010, Rock music 2001 2010","A&M,","p2006."
"Digital","Freegal","SONG","2016","10","1","Hall of Fame (Humanjive Remix)","Power Music Workout",,,
"Physical","Horizon","BOOK","2016","10","10","On a farm / by Alexa Andrews ; illustrated by Candice Keimig and with photographs.","Andrews, Alexa","Farms Juvenile fiction","Penguin Young Readers,","[2013]"
"Physical","Horizon","BOOK","2016","10","14","Murilla gorilla and the lost parasol / Jennifer Lloyd ; illustrated by Jacqui Lee.","Lloyd, Jennifer","Gorilla Juvenile fiction, Mystery and detective stories, Lost and found possessions Fiction, Lost articles Juvenile fiction","Simply Read Books,","2013."
"Physical","Horizon","BOOK","2016","10","5","Barack Obama / Caroline Crosson Gilpin.","Gilpin, Caroline Crosson","Obama Barack Juvenile literature, Presidents United States Biography Juvenile literature, African Americans Biography Juvenile literature","National Geographic,","[2014]"
"Physical","Horizon","BOOK","2016","10","1","Cleaning the house / John Malam.","Malam, John, 1957-","House cleaning Juvenile literature","Franklin Watts,","2000."
"Physical","Horizon","BOOK","2016","10","1","Deng Xiaoping and the transformation of China / Ezra F. Vogel.","Vogel, Ezra F.","Deng Xiaoping 1904 1997, Heads of state China Biography, China Politics and government 1976 2002","Belknap Press of Harvard University Press,","2011."
"Digital","Freegal","SONG","2016","10","1","A Brisa Do Coracao (From ""Pereira Declares"")","Ennio Morricone;Orchestra dell'Accademia Nazionale di Santa Cecilia;Dulce Pontes",,,
"Physical","Horizon","BOOK","2016","10","21","Purplicious / written by Victoria Kann & Elizabeth Kann ; illustrated by Victoria Kann.","Kann, Victoria","Pink Juvenile fiction, Individuality Juvenile fiction, Schools Fiction, Color Fiction","HarperCollinsPublishers,","2007."
"Physical","Horizon","VIDEODISC","2016","10","4","Wizards of Waverly Place [videorecording] : the movie / a Disney Channel original movie ; produced by Kevin Lafferty ; written by Dan Berendsen ; directed by Lev L. Spiro.",,"Families Juvenile drama, Witchcraft Juvenile drama, Incantations Juvenile drama, Magic Juvenile drama, Made for TV movies, Childrens television programs, Video recordings for the hearing impaired","Disney DVD : distributed by Buena Vista Home Entertainment,","2009."
"Physical","Horizon","SOUNDDISC","2016","10","4","Mac DeMarco 2 [sound recording].","Demarco, Mac","Rock music 2011 2020","Captured Tracks,","p2012."
"Physical","Horizon","BOOK","2016","10","1","Pet parakeets / Julia Barnes.","Barnes, Julia, 1955-","Parrots Juvenile literature","Gareth Stevens Pub.,","c2007."
"Digital","OverDrive","EBOOK","2016","10","5","A Room Full of Bones: Ruth Galloway Mystery Series, Book 4","Elly Griffiths","Fiction, Mystery","Houghton Mifflin Harcourt Trade and Reference","2013"
"Physical","Horizon","BOOK","2016","10","2","Figure drawing master class : lessons in life drawing / Dan Gheno.","Gheno, Dan,","Figure drawing Technique, Human figure in art, Anatomy Artistic","North Light Books,","[2015]"
"Physical","Horizon","BOOK","2016","10","1","Art saves : stories, inspiration and prompts sharing the power of art / Jenny Doh.","Doh, Jenny","Handicraft, Creation Literary artistic etc, Inspiration Anecdotes","North Light Books,","c2011."
"Physical","Horizon","SOUNDDISC","2016","10","3","If I could only remember my name -- / David Crosby.","Crosby, David, 1941-","Rock music 1971 1980, Popular music 1971 1980","Atlantic/Rhino,","[2011?], c1971."
"Digital","OverDrive","AUDIOBOOK","2016","10","1","Rebecca of Sunnybrook Farm: Rebecca Series, Book 1 (unabridged) (Unabridged)","Kate Douglas Wiggin","Classic Literature, Juvenile Fiction","Blackstone Audio, Inc.","2007"
"Physical","Horizon","BOOK","2016","10","10","The planets / by Gail Gibbons.","Gibbons, Gail","Planets Juvenile literature","Holiday House,","c2008."
"Physical","Horizon","VIDEODISC","2016","10","8","Kidnap and ransom. Complete series 1 and 2 [videorecording] / Fremantle Media Enterprises ; Projector ; Instinctive Film ; The Place That Hits the Sun Ltd. ; producer, Trevor Hopkins ; written by Michael Crompton ; directed by Andy Wilson.",,"Kidnapping Drama, Hostages Drama, Thrillers Television programs, Television series, Fiction television programs, Video recordings for the hearing impaired","Acorn Media,","c2012"
"Physical","Horizon","BOOK","2016","10","11","Zelda and Ivy : the big picture / Laura Mcgee Kvasnosky.","Kvasnosky, Laura McGee","Foxes Juvenile fiction, Sisters Juvenile fiction, Camping Juvenile fiction, Mystery and detective stories","Candlewick Press,","2010."
"Physical","Horizon","VIDEODISC","2016","10","3","A life in dirty movies [videorecording] / Film Movement ; Ram Releasing ; Anagram ; in co-production with Rock'n'Roll Film, Skofteland Film, Film i Skåne ; producer, Erik Magnusson ; a film by Wiktor Ericsson.",,"Sarno Joseph W 1921 2010, Motion picture producers and directors United States Biography, Pornographic films United States, Biographical films, Documentary films, Feature films, Nonfiction films, Video recordings for the hearing impaired","Film Movement LLC,","[2014]"
"Physical","Horizon","VIDEODISC","2016","10","7","The game [videorecording] / Universal ; PolyGram Filmed Entertainment ; a Propaganda Films production ; directed by David Fincher ; written by John Brancato & Michael Ferris ; produced by Steve Golin and Ceán Chaffin.",,"Psychological games Drama, Businessmen Attitudes Drama, Brothers Drama, Feature films, Fiction films, Detective and mystery films, Thrillers Motion pictures, Video recordings for the hearing impaired","Criterion Collection : Universal Studios Home Entertainment : Polygram Filmed Entertainment,","c2012."
"Physical","Horizon","SOUNDDISC","2016","10","2","Fulfillingness' first finale [sound recording] / Stevie Wonder.","Wonder, Stevie","Popular music 1971 1980","Motown,","c2000, p1974."
"Physical","Horizon","BOOK","2016","10","1","The witch of Goingsnake and other stories / by Robert J. Conley ; foreword by Wilma P. Mankiller.","Conley, Robert J.","Cherokee Indians Fiction, Short stories","University of Oklahoma Press,","1991, ©1988."
"Physical","Horizon","BOOK","2016","10","1","Mathematics + art : a cultural history / Lynn Gamwell ; foreword by Neil deGrasse Tyson.","Gamwell, Lynn, 1943-","Mathematics in art History, Mathematics Art Pictorial works, Art Mathematics Pictorial works","Princeton University Press,","[2016]"
"Physical","Horizon","ER","2016","10","1","Getting into the vortex : guided meditations CD and user guide / Esther and Jerry Hicks.","Hicks, Esther, 1948-","Meditations, Spirit writings","Hay House,","2010."
"Physical","Horizon","BOOK","2016","10","1","A field guide to wetland characterization and wetland plant guide : a non technical approach / Ken Pritchard ; design and illustration, Peacock Productions and Noel Design.","Pritchard, Ken.","Wetlands Washington State King County, Wetland plants Washington State King County","Washington State University Cooperative Extension, Land/Water Stewardship Program, King County,","c1991."
"Digital","OverDrive","EBOOK","2016","10","4","A Breath of Scandal: Reckless Brides Trilogy, Book 2","Elizabeth Essex","Fiction, Historical Fiction, Romance","Macmillan Publishers","2015"
"Digital","OverDrive","EBOOK","2016","10","1","A Working Theory of Love","Scott Hutchins","Fiction, Literature","Penguin Group (USA), Inc.","2013"
"Physical","Horizon","VIDEODISC","2016","10","2","Drew [videorecording] : the man behind the poster / directed by Erik P. Sharkey ; produced by Charles Ricciardi ; co-produced by Greg Boas, Erik P. Sharkey ; written by Greg Boas, Charles Ricciardi, Erik P. Sharkey, Jeff Yorkes.",,"Struzan Drew, Illustrators United States Biography, Film posters American, Biographical films, Documentary films, Nonfiction films","Kino Lorber,","c2013."
"Physical","Horizon","BOOK","2016","10","3","Your man chose me / Racquel Williams.","Williams, Racquel,","African American women Fiction, Triangles Interpersonal relations Fiction, Best friends Fiction, Urban fiction","Urban Books,","[2016]"
"Physical","Horizon","SOUNDDISC","2016","10","1","Yatra (nomadic souls) [sound recording] / Kailash Kher & Kailasa.","Kher, Kailash","Popular music India 2001 2010, Songs Hindi, Songs Urdu, World music","Cumbancha,","p2009."
"Physical","Horizon","BOOK","2016","10","1","Mexico / by R. Conrad Stein.","Stein, R. Conrad","Mexico Juvenile literature","Children's Press,","2007."
"Physical","Horizon","BOOK","2016","10","1","1965 : the most revolutionary year in music / Andrew Grant Jackson.","Jackson, Andrew Grant, 1969-","Popular music 1961 1970 History and criticism, Nineteen sixty five A D","Thomas Dunne Books/St. Martin's Press,","c2015."
"Physical","Horizon","VIDEODISC","2016","10","15","DCI Banks. Aftermath [videorecording] / BBC ; Left Bank Pictures ; produced by Francis Hopkinson ; written by Robert Murphy ; directed by James Hawes.",,"Banks Alan Fictitious character Drama, Police England Yorkshire Drama, Serial murderers England Drama, Serial murder investigation Drama, Yorkshire England Drama, Detective and mystery television programs Great Britain, Television cop shows, Television series, Fiction television programs, Video recordings for the hearing impaired","BBC Video ; Warner Home Video,","[2013]"
"Physical","Horizon","SOUNDDISC","2016","10","2","The thirteenth tale [sound recording] / by Diane Setterfield.","Setterfield, Diane","Recluses as authors Fiction, Women authors Fiction, Female friendship Fiction, Families Fiction","Recorded Books,","p2006."
