,usageclass,checkouttype,materialtype,checkoutyear,checkoutmonth,checkouts,title,creator,subjects,publisher,publicationyear
9233,Digital,OverDrive,AUDIOBOOK,2018,1,4,"Murder in the Afternoon: Kate Shackleton Series, Book 3 (unabridged) (Unabridged)",Frances Brody,"Fiction, Historical Fiction, Mystery, Suspense","Dreamscape Media, LLC",2014
9237,Digital,OverDrive,AUDIOBOOK,2018,1,6,Lethal (Unabridged),Sandra Brown,"Fiction, Thriller","Blackstone Audio, Inc.",2011
9259,Digital,OverDrive,AUDIOBOOK,2018,1,1,"Never Again Good-Bye: Second Chances Series, Book 1 (unabridged) (Unabridged)",Terri Blackstock,"Christian Fiction, Fiction, Suspense",Zondervan,2013
9267,Digital,OverDrive,AUDIOBOOK,2018,1,1,"Ultima: Proxima Series, Book 2 (unabridged) (Unabridged)",Stephen Baxter,"Fiction, Literature","Tantor Media, Inc",2015
9270,Digital,OverDrive,AUDIOBOOK,2018,1,1,"Truevine: Two Brothers, a Kidnapping, and a Mother's Quest: A True Story of the Jim Crow South (unabridged) (Unabridged)",Beth Macy,"Biography & Autobiography, History, Nonfiction","Blackstone Audio, Inc.",2016
9277,Digital,OverDrive,AUDIOBOOK,2018,1,1,Table Manners: How to Behave in the Modern World and Why Bother (unabridged) (Unabridged),Jeremiah Tower,"Nonfiction, Reference",Books on Tape,2016
9282,Digital,OverDrive,AUDIOBOOK,2018,1,2,The Ghosts of Langley: Into the CIA's Heart of Darkness (unabridged) (Unabridged),John Prados,"History, Nonfiction","Tantor Media, Inc",2017
9304,Digital,OverDrive,AUDIOBOOK,2018,1,1,"The Rivalry: Mystery at the Army-Navy Game: Steve Thomas & Susan Carol Anderson Mystery Series, Book 5 (unabridged) (Unabridged)",John Feinstein,"Mystery, Young Adult Fiction",Books on Tape,2010
9311,Digital,OverDrive,AUDIOBOOK,2018,1,5,Billionaire at the Barricades: The Populist Revolution from Reagan to Trump (unabridged) (Unabridged),Laura Ingraham,"Nonfiction, Politics",Macmillan Audio,2017
9315,Digital,OverDrive,AUDIOBOOK,2018,1,4,The Revenge of Analog: Real Things and Why They Matter (unabridged) (Unabridged),David Sax,"Business, Nonfiction, Sociology, Technology",Hachette Audio,2016
9332,Digital,OverDrive,AUDIOBOOK,2018,1,1,Becoming Marie Antoinette: A Novel (unabridged) (Unabridged),Juliet Grey,"Fiction, Historical Fiction",Books on Tape,2011
9334,Digital,OverDrive,AUDIOBOOK,2018,1,3,"Treasury of Greek Mythology: Classic Stories of God, Goddesses, Heroes & Monsters (unabridged) (Unabridged)",Donna Jo Napoli,"Juvenile Nonfiction, Sociology","Recorded Books, LLC",2017
9340,Digital,OverDrive,AUDIOBOOK,2018,1,5,"Sweet Filthy Morning After: Wild Seasons Series, Book 1.5 (unabridged) (Unabridged)",Christina Lauren,"Fiction, Romance, Short Stories",Simon & Schuster - All Library,2015
9343,Digital,OverDrive,AUDIOBOOK,2018,1,2,Motherest: A Novel (unabridged) (Unabridged),Kristen Iskandrian,"Fiction, Literature",Hachette Audio,2017
9358,Digital,OverDrive,AUDIOBOOK,2018,1,11,Troublemaker: Surviving Hollywood and Scientology (unabridged) (Unabridged),Leah Remini,"Biography & Autobiography, Nonfiction, Performing Arts, Religion & Spirituality",Books on Tape,2015
9428,Digital,OverDrive,AUDIOBOOK,2018,1,2,Healing Children: A Surgeon's Stories from the Frontiers of Pediatric Medicine (unabridged) (Unabridged),"Kurt Newman, M.D.","Biography & Autobiography, Health & Fitness, Medical, Nonfiction",Books on Tape,2017
9450,Digital,OverDrive,AUDIOBOOK,2018,1,4,"Some Buried Caesar: Nero Wolfe Series, Book 6 (unabridged) (Unabridged)",Rex Stout,"Fiction, Mystery",Books on Tape,2012
9458,Digital,OverDrive,AUDIOBOOK,2018,1,3,Lovingkindness Meditation: Learning to Love Through Insight Meditation (unabridged) (Unabridged),Sharon Salzberg,"Nonfiction, Religion & Spirituality","Sounds True, Inc",2009
9461,Digital,OverDrive,AUDIOBOOK,2018,1,1,Slim by Design: Mindless Eating Solutions for Everyday Life (unabridged) (Unabridged),Brian Wansink,"Health & Fitness, Nonfiction",HarperCollins Publishers Inc.,2014
9464,Digital,OverDrive,AUDIOBOOK,2018,1,2,"Miss Klute Is a Hoot!: My Weirder School Series, Book 11 (unabridged) (Unabridged)",Dan Gutman,"Humor (Fiction), Juvenile Fiction, Juvenile Literature",HarperCollins Publishers Inc.,2014
9477,Digital,OverDrive,AUDIOBOOK,2018,1,3,"One False Note: The 39 Clues Series, Book 2 (unabridged) (Unabridged)",Gordon Korman,"Juvenile Fiction, Mystery, Suspense",Scholastic Inc. Audiobooks,2009
9482,Digital,OverDrive,AUDIOBOOK,2018,1,3,On Writing Well Audio Collection: On Writing Well and How to Write a Memoir (abridged) (Abridged),William Zinsser,"Nonfiction, Self-Improvement",HarperCollins Publishers Inc.,2005
9505,Digital,OverDrive,AUDIOBOOK,2018,1,6,"Mental: Lithium, Love, and Losing My Mind (unabridged) (Unabridged)",Jaime Lowe,"Biography & Autobiography, History, Nonfiction, Psychology",Books on Tape,2017
